,Month,Studio,avg_Monthly_cume_Gross,avg_Monthly_gross,Total_gross_mil
0,12,EuropaCorp,243943391.777,16143472.8591,16.1434728591
0,1,Focus / Gramercy,242697064.442,16076846.7943,16.0768467943
0,2,Focus / Gramercy,242688085.23,16075824.3785,16.0758243785
0,3,Focus / Gramercy,242675685.087,16074778.1698,16.0747781698
0,3,Pure Flix Entertain…,249204042.26,16486117.2604,16.4861172604
0,4,Pure Flix Entertain…,249160724.302,16486181.7399,16.4861817399
0,5,Pure Flix Entertain…,249127123.186,16482288.0209,16.4822880209
0,6,Pure Flix Entertain…,249087494.166,16477915.9591,16.4779159591
0,7,Pure Flix Entertain…,249073115.889,16475706.6272,16.4757066272
0,8,Pure Flix Entertain…,249060446.528,16474598.5812,16.4745985812
0,10,Pure Flix Entertain…,249013642.831,16472593.8731,16.4725938731
0,11,Pure Flix Entertain…,248984412.585,16470585.1965,16.4705851965
0,12,Pure Flix Entertain…,248971525.171,16469487.826,16.469487826
0,1,Pure Flix Entertain…,248959620.965,16468381.5681,16.4683815681
0,2,Pure Flix Entertain…,248943848.673,16467274.2813,16.4672742813
0,9,Pure Flix Entertain…,248910886.882,16465306.4456,16.4653064456
0,12,Relativity,267804790.133,17668674.8418,17.6686748418
0,1,Relativity,267788619.447,17668295.2095,17.6682952095
0,2,Relativity,267765903.393,17670836.0179,17.6708360179
0,3,Relativity,267768805.722,17676664.5788,17.6766645788
0,4,Relativity,267783120.82,17678638.3846,17.6786383846
0,5,Relativity,267800091.625,17673798.7814,17.6737987814
0,6,Relativity,267813703.369,17671565.1124,17.6715651124
0,7,Relativity,267794935.69,17670092.5356,17.6700925356
0,8,Relativity,267744891.014,17666604.994,17.666604994
0,9,Relativity,267684401.567,17668250.2511,17.6682502511
0,10,Relativity,267646610.375,17665958.9824,17.6659589824
0,11,Relativity,267644238.385,17671190.5753,17.6711905753
0,6,High Top Releasing,252528818.097,16702047.3106,16.7020473106
0,7,High Top Releasing,252511590.159,16700907.4751,16.7009074751
0,8,High Top Releasing,252494356.403,16699767.8142,16.6997678142
0,9,High Top Releasing,252460527.091,16697895.6871,16.6978956871
0,10,High Top Releasing,252428760.515,16695918.7523,16.6959187523
0,11,High Top Releasing,252411990.109,16694811.173,16.694811173
0,4,High Top Releasing,252377721.192,16692694.2945,16.6926942945
0,5,High Top Releasing,252346046.256,16691231.1074,16.6912311074
0,12,High Top Releasing,252330012.752,16690420.0681,16.6904200681
0,1,High Top Releasing,252313062.132,16689432.248,16.689432248
0,2,High Top Releasing,252296012.945,16688300.7932,16.6883007932
0,6,UTV Communications,351908361.186,23190776.4199,23.1907764199
0,7,UTV Communications,351599875.938,23170900.8383,23.1709008383
0,9,UTV Communications,351258368.661,23148672.3371,23.1486723371
0,12,UTV Communications,350953756.28,23130958.3008,23.1309583008
0,1,UTV Communications,350622856.661,23109027.3205,23.1090273205
0,2,UTV Communications,350250806.838,23085051.8808,23.0850518808
0,4,UTV Communications,350012681.834,23069568.7424,23.0695687424
0,5,UTV Communications,349842650.921,23058380.5853,23.0583805853
0,8,UTV Communications,349504515.876,23036862.8927,23.0368628927
0,11,UTV Communications,349232981.322,23019297.0364,23.0192970364
0,3,UTV Communications,348964376.349,23001611.4931,23.0016114931
0,10,UTV Communications,348762275.844,22988525.142,22.988525142
0,7,Quality Flix,241950064.872,16027534.2143,16.0275342143
0,8,Quality Flix,241937469.323,16026639.9213,16.0266399213
0,9,Quality Flix,241925947.883,16025632.79,16.02563279
0,10,Quality Flix,241911025.096,16024588.2369,16.0245882369
0,8,IFC Films,398558300.547,26296704.7552,26.2967047552
0,9,IFC Films,397885884.153,26254993.0065,26.2549930065
0,10,IFC Films,397233996.325,26210526.4634,26.2105264634
0,11,IFC Films,396655454.042,26167899.5291,26.1678995291
0,12,IFC Films,396060798.578,26123374.3336,26.1233743336
0,1,IFC Films,395507332.588,26079183.3014,26.0791833014
0,2,IFC Films,394904267.479,26034268.3845,26.0342683845
0,3,IFC Films,394302155.271,25989652.4224,25.9896524224
0,4,IFC Films,393651872.399,25946016.9895,25.9460169895
0,5,IFC Films,392983838.939,25903487.7968,25.9034877968
0,6,IFC Films,392320911.134,25860977.9185,25.8609779185
0,7,IFC Films,391670555.544,25820136.5738,25.8201365738
