,Month,Studio,avg_Monthly_cume_Gross,avg_Monthly_gross
0,9,Samuel Goldwyn Films,910322860.539,60829817.8995
0,10,Samuel Goldwyn Films,906000075.342,60544375.8356
0,11,Samuel Goldwyn Films,902803901.595,60330260.3308
0,12,Samuel Goldwyn Films,899881129.232,60131953.2055
0,1,Samuel Goldwyn Films,898041095.636,60007192.4446
0,3,Samuel Goldwyn Films,895126159.221,59816811.527
0,4,Samuel Goldwyn Films,891984572.579,59609732.3616
0,5,Samuel Goldwyn Films,888623903.5,59385072.5877
0,6,Samuel Goldwyn Films,885258332.067,59158527.2688
0,2,Samuel Goldwyn Films,883962021.183,59073687.363
0,7,Samuel Goldwyn Films,881125596.966,58883680.0167
0,8,European International,880867001.417,58866494.3086
0,9,European International,880609923.855,58849504.0801
0,10,European International,880352429.892,58832316.5431
0,11,European International,880096573.332,58815209.1602
0,12,European International,879841299.208,58798029.6387
0,9,New World,878820826.04,58734432.1878
0,10,New World,877555634.389,58654311.7868
0,11,New World,875807591.612,58544673.7951
0,1,New World,874544050.665,58465940.9137
0,2,New World,873300076.287,58387695.5538
0,3,New World,872332989.921,58327301.2698
0,4,New World,871605138.575,58279433.7967
0,5,New World,870113904.426,58182547.5346
0,6,New World,869613265.117,58149379.3735
0,7,New World,868862666.009,58099243.4841
0,8,New World,867868305.291,58036409.6813
0,12,New World,866630055.858,57955905.2434
0,9,Film Ventures Inter…,866380091.439,57939391.7921
0,10,Limelight Internati…,866130409.186,57922842.2563
0,11,Limelight Internati…,865881585.414,57906264.3047
0,4,Sony/TriStar,864104170.997,57789682.7602
0,5,Sony/TriStar,862293429.006,57695637.9477
0,6,Sony/TriStar,860803482.499,57618223.397
0,7,Sony/TriStar,860287434.359,57586588.8666
0,8,Sony/TriStar,859673828.988,57541729.8518
0,9,Sony/TriStar,858216314.901,57439382.6917
0,10,Sony/TriStar,856473184.587,57328471.0914
0,11,Sony/TriStar,854660202.704,57227242.4302
0,12,Sony/TriStar,853330425.374,57154377.4113
0,1,Sony/TriStar,852092289.722,57094003.9269
0,2,Sony/TriStar,850845567.486,57009711.0854
0,3,Sony/TriStar,849810153.287,56937308.5853
0,8,Island/Alive,849096886.501,56889838.9399
0,9,Island/Alive,848386119.818,56842803.445
0,10,Island/Alive,847917380.385,56811768.8017
0,11,Island/Alive,847456913.297,56780892.7185
0,12,Island/Alive,846995233.068,56749240.5124
0,3,Island/Alive,846757166.109,56733334.9111
0,4,Island/Alive,846519625.073,56717536.8054
0,5,Island/Alive,846283878.902,56701954.0458
0,6,Island/Alive,845810050.195,56670169.118
0,7,Island/Alive,845338131.723,56638468.6189
0,1,Island/Alive,845118515.488,56622799.1996
0,2,Island/Alive,844896788.033,56607312.4078
0,9,Almi,844659744.827,56591450.3114
0,11,New Line,842542385.43,56452879.4322
0,12,New Line,841370832.125,56501747.3489
0,4,New Line,839131151.708,56306113.6079
0,5,New Line,837668993.959,56112430.713
0,6,New Line,835740494.972,55917410.5083
0,8,New Line,834301297.514,55933571.915
0,2,New Line,832948968.171,55820902.1621
0,3,New Line,831194830.444,55674741.1184
0,10,New Line,829512830.562,55542447.621
0,9,New Line,827599944.273,55407033.4041
0,1,New Line,826834526.247,55344268.5484
0,7,New Line,826018821.379,55296864.4186
0,8,United Film Distrib…,825800932.787,55282518.3263
0,9,United Film Distrib…,825583214.369,55267924.7766
0,9,Goldwyn Entertainment,824712651.99,55210100.7771
0,10,Goldwyn Entertainment,823628579.648,55138601.815
0,11,Goldwyn Entertainment,822343535.274,55055253.8306
0,12,Goldwyn Entertainment,821075755.104,54969418.2906
0,2,Goldwyn Entertainment,819795722.461,54884506.0305
0,8,Goldwyn Entertainment,818938978.035,54826923.3191
0,4,Goldwyn Entertainment,817674032.239,54742464.3928
0,5,Goldwyn Entertainment,816411633.455,54657867.1389
0,6,Goldwyn Entertainment,815361813.44,54587398.759
0,1,Goldwyn Entertainment,814320586.116,54517056.3036
0,3,Goldwyn Entertainment,813493744.269,54462322.1963
0,7,Goldwyn Entertainment,813070587.855,54434017.4237
0,10,Empire Pictures,811801563.745,54349447.9372
0,1,Empire Pictures,810326470.858,54251463.4035
0,8,Empire Pictures,809275217.456,54181117.838
0,9,Empire Pictures,808017783.91,54096959.9463
0,11,Empire Pictures,806764380.981,54013045.0802
0,12,Empire Pictures,805514419.813,53929335.762
0,2,Empire Pictures,804475611.478,53859749.8753
0,6,Empire Pictures,803646509.401,53804270.4936
0,3,Empire Pictures,803025515.539,53762684.7063
0,4,Empire Pictures,802405554.544,53721178.0639
0,5,Empire Pictures,801992802.953,53693581.6132
0,7,Empire Pictures,801375011.22,53652235.0831
0,10,Skouras,801169015.1,53638451.4054
0,11,Skouras,800963147.693,53624679.4518
0,8,Skouras,800757545.749,53610936.6606
0,3,Skouras,800551856.03,53597167.4683
0,4,Skouras,800346279.183,53583405.5514
0,5,Skouras,800140804.948,53569649.199
0,6,Skouras,799935447.829,53555900.162
0,11,Bud Yorkin Co.,799730216.907,53542195.94
0,12,Bud Yorkin Co.,799525539.053,53528880.6401
0,1,Bud Yorkin Co.,799325502.192,53516431.7507
0,12,Rialto Pictures,796875223.58,53352386.5441
0,1,Rialto Pictures,794643181.363,53203254.9416
0,6,Rialto Pictures,792020774.851,53027682.5532
0,7,Rialto Pictures,789217353.753,52840030.4634
0,8,Rialto Pictures,785838981.043,52613788.4112
0,5,Rialto Pictures,783273756.427,52442082.563
0,9,Rialto Pictures,780531739.742,52258354.9922
0,10,Rialto Pictures,778002024.623,52088873.5859
0,11,Rialto Pictures,776066914.813,51959234.8075
0,3,Rialto Pictures,773757550.03,51804571.8796
0,2,Rialto Pictures,771652009.691,51663650.0691
0,4,Rialto Pictures,769368428.619,51510692.448
0,1,Island,769178706.959,51498079.4121
0,2,Island,768990087.547,51485687.9961
0,8,Island,768802060.404,51473401.3764
0,6,De Laurentiis Enter…,768617175.983,51463564.1085
0,8,De Laurentiis Enter…,768430272.96,51452779.551
0,10,De Laurentiis Enter…,768241774.571,51441007.1891
0,12,De Laurentiis Enter…,768052945.863,51428817.4091
0,1,De Laurentiis Enter…,767877058.723,51419655.17
0,2,De Laurentiis Enter…,767691894.887,51408797.1438
0,3,Cinema Guild,765808346.002,51283744.7314
0,11,Cinema Guild,764306731.966,51183161.9588
0,1,Cinema Guild,762997479.959,51095482.894
0,2,Cinema Guild,761692764.779,51008093.4262
0,4,Cinema Guild,760207220.876,50908626.7476
0,5,Cinema Guild,758912212.428,50821945.4629
0,6,Cinema Guild,757069900.248,50698575.4957
0,7,Cinema Guild,755236875.108,50575834.8934
0,12,Cinema Guild,754323600.619,50514648.7473
0,8,Cinema Guild,752685298.17,50404917.241
0,9,Cinema Guild,751235225.008,50307792.1362
0,10,Cinema Guild,750331631.279,50247258.299
0,5,New Century Vista F…,750157055.55,50237773.6835
0,8,Vestron,749831130.184,50216474.12
0,9,Vestron,749508369.941,50196471.4677
0,10,Vestron,749370681.125,50187200.8368
0,11,Vestron,749234363.407,50177326.7313
0,12,Vestron,749066511.959,50165696.2585
0,1,Vestron,748956974.085,50155090.7636
0,8,Lorimar Motion Pict…,748778271.797,50144208.3331
0,9,Lorimar Motion Pict…,748603451.103,50133195.3659
0,1,Lorimar Motion Pict…,748424856.102,50122260.0511
0,2,Lorimar Motion Pict…,748252873.209,50113648.3084
0,4,Hemdale,748074178.392,50102453.3059
0,5,Hemdale,747717189.227,50079175.1086
0,11,Hemdale,747538522.981,50067768.0367
0,5,Miramax,746016098.074,49873944.8525
0,9,Miramax,743670496.665,49731068.0789
0,3,Miramax,742262747.656,49613474.2737
0,1,Miramax,740455603.622,49561199.6066
0,4,Miramax,739386333.497,49431515.247
0,2,Miramax,737727382.775,49347243.1511
0,8,Miramax,735558146.212,49241338.3954
0,11,Miramax,733252577.817,49104981.4803
0,12,Miramax,731096265.896,49027548.5862
0,6,Miramax,729926639.642,48868126.269
0,10,Miramax,727757668.148,48742904.8795
0,7,Miramax,726141719.648,48592428.0253
0,10,Galaxy Internationa…,725977454.753,48582784.147
0,12,Orion Classics,725811882.743,48571722.7114
0,4,Orion Classics,725646367.415,48560680.5427
0,8,Orion Classics,725481654.713,48549940.6522
0,9,Orion Classics,725318919.605,48539180.2731
0,10,Orion Classics,724991233.556,48517204.7473
0,6,Orion Classics,724826055.594,48506156.2062
0,7,Orion Classics,724661095.026,48495168.933
0,11,Orion Classics,724496166.283,48484162.9014
0,1,Orion Classics,724331214.025,48473129.5881
0,2,Orion Classics,724166585.055,48462186.3169
0,3,Orion Classics,724002164.849,48451205.3289
0,3,Triumph Releasing,723676069.214,48431313.9186
0,4,Triumph Releasing,723349164.129,48411135.7285
0,5,Triumph Releasing,723028042.176,48391273.0384
0,8,Triumph Releasing,722866656.874,48382135.0332
0,9,Triumph Releasing,722708660.808,48372451.826
0,7,Triumph Releasing,722544524.546,48361469.3695
0,10,Triumph Releasing,722380467.757,48350488.2352
0,11,Triumph Releasing,722216495.195,48339512.5473
0,9,Millimeter Films,722054290.397,48329566.2304
0,3,Trimark,721242590.6,48275651.8524
0,4,Trimark,720436006.311,48221761.4291
0,12,Trimark,719796498.758,48178641.8796
0,6,Trimark,718996834.629,48124702.1905
0,9,Trimark,718350500.886,48081863.1109
0,10,Trimark,717867529.226,48049687.7805
0,11,Trimark,717229487.506,48009298.2545
0,1,Trimark,716763811.501,47978778.487
0,2,Trimark,716140155.585,47936497.393
0,5,Trimark,715507062.297,47896205.0007
0,7,Trimark,715188181.768,47874797.6017
0,8,Trimark,714707829.885,47843055.0546
0,4,Avenue Pictures Pro…,714547923.244,47832696.1743
0,5,Avenue Pictures Pro…,714390200.896,47822364.4243
0,5,Seven Arts Pictures,714229930.01,47811715.9477
0,11,InterStar Releasing,714073338.873,47803253.2074
0,5,InterStar Releasing,713913736.849,47793139.6475
0,1,Cohen Media Group,713275796.408,47750433.0742
0,2,Cohen Media Group,712638240.03,47707921.8835
0,3,Cohen Media Group,711844076.62,47654932.9228
0,4,Cohen Media Group,711052318.204,47601945.1023
0,5,Cohen Media Group,710103629.412,47538456.8672
0,6,Cohen Media Group,709156969.1,47475285.2209
0,7,Cohen Media Group,708055487.272,47401562.2704
0,8,Cohen Media Group,707113111.565,47338626.3073
0,9,Cohen Media Group,706485741.181,47296703.3164
0,10,Cohen Media Group,705861332.928,47254987.604
0,11,Cohen Media Group,705238787.495,47213322.883
0,12,Cohen Media Group,704615447.893,47171622.4493
0,3,Sony Pictures Classics,701365945.06,46938384.1359
0,4,Sony Pictures Classics,698143110.389,46707465.8134
0,5,Sony Pictures Classics,694939168.181,46471987.6737
0,6,Sony Pictures Classics,691794791.82,46240824.1369
0,7,Sony Pictures Classics,688721591.707,46013185.7455
0,8,Sony Pictures Classics,685567295.766,45787056.216
0,9,Sony Pictures Classics,682580627.315,45566068.1917
0,10,Sony Pictures Classics,679589119.513,45343699.263
0,11,Sony Pictures Classics,676747386.862,45134828.7441
0,12,Sony Pictures Classics,673863735.78,44930955.6588
0,1,Sony Pictures Classics,671097556.372,44739056.4585
0,2,Sony Pictures Classics,668217094.437,44544927.1804
0,5,Fine Line,667277108.357,44482472.7395
0,12,Fine Line,666183620.81,44411574.3009
0,1,Fine Line,664977191.764,44335003.9733
0,2,Fine Line,663923925.061,44266247.5266
0,3,Fine Line,662880155.11,44196337.5868
0,4,Fine Line,661962587.938,44133354.918
0,6,Fine Line,661013006.438,44070825.5591
0,7,Fine Line,660069775.713,44008319.909
0,8,Fine Line,659265819.629,43956188.2544
0,9,Fine Line,658204544.192,43887166.9984
0,10,Fine Line,657009979.533,43807907.0401
0,11,Fine Line,655814896.397,43728528.2431
0,9,Dimension Pictures,655681935.414,43720457.3577
0,6,Dimension Pictures,655548198.32,43711549.6771
0,5,Gramercy,654724475.682,43658759.8766
0,9,Gramercy,653834160.183,43604479.4616
0,2,Gramercy,653207795.616,43565393.4032
0,3,Gramercy,652499732.454,43523919.7784
0,4,Gramercy,651818994.278,43480448.8642
0,6,Gramercy,651391950.137,43447766.2601
0,7,Gramercy,651072517.121,43422608.8352
0,8,Gramercy,650319595.295,43374641.3383
0,10,Gramercy,649590961.013,43331091.0329
0,11,Gramercy,648866372.215,43288718.4209
0,12,Gramercy,648308473.389,43247842.97
0,1,Gramercy,647721089.102,43208131.7023
0,10,Savoy,647466634.378,43193228.6014
0,1,Savoy,647342495.364,43187403.0237
0,3,Savoy,647090556.88,43173930.9049
0,4,Savoy,646844201.007,43160661.0175
0,5,Savoy,646606902.775,43146086.8023
0,12,Savoy,646349674.823,43129469.6005
0,2,Savoy,646220474.593,43121397.9257
0,6,Savoy,646123228.283,43114140.307
0,7,Savoy,646011947.455,43105623.6457
0,8,Savoy,645887598.345,43097618.7949
0,9,Savoy,645764197.275,43090717.1944
0,11,Savoy,645638402.981,43082770.4219
0,11,Warren Miller Enter…,644869411.223,43032841.2943
0,10,Warren Miller Enter…,644611425.224,43015784.8684
0,12,Warren Miller Enter…,644227107.924,42990024.3345
0,11,October Films,643467956.778,42939951.6128
0,12,October Films,642835968.502,42898106.1138
0,1,October Films,642336579.884,42865263.8639
0,2,October Films,641846482.947,42834881.9083
0,3,October Films,641240674.096,42794868.6247
0,6,October Films,640623794.436,42753100.4878
0,8,October Films,639879693.634,42703742.1377
0,9,October Films,639141792.804,42654866.3931
0,10,October Films,638399817.869,42605274.417
0,4,October Films,638055958.684,42582028.8795
0,5,October Films,637705819.805,42559071.3771
0,7,October Films,637224400.824,42525805.5806
0,12,Strand,634840597.447,42366686.3985
0,7,Strand,632474472.182,42208873.4734
0,8,Strand,630249324.156,42060344.4267
0,9,Strand,627795072.294,41896598.1367
0,10,Strand,625603003.07,41750439.809
0,3,Strand,623426242.604,41605174.6652
0,6,Strand,621144134.499,41452878.6694
0,4,Strand,618879436.783,41301665.0898
0,5,Strand,616512333.316,41143729.861
0,11,Strand,614514843.072,41010468.0372
0,1,Strand,612880086.434,40901319.3104
0,2,Strand,611021536.173,40777306.6529
0,2,First Look,610216835.839,40723477.505
0,3,First Look,609642920.333,40685820.9845
0,4,First Look,608730154.865,40626013.1803
0,5,First Look,607710586.467,40557795.2049
0,6,First Look,606696045.769,40490154.1462
0,7,First Look,606020967.816,40444771.6308
0,8,First Look,605230523.726,40392060.4565
0,12,First Look,604549881.157,40346689.9347
0,9,First Look,603647531.992,40286779.8062
0,10,First Look,602749139.561,40226912.607
0,11,First Look,601853120.323,40167164.5519
0,1,First Look,601408946.509,40137227.2222
0,6,Arrow Releasing,601072507.236,40114807.7253
0,7,Arrow Releasing,600736704.576,40092443.3826
0,5,Arrow Releasing,600512759.11,40077513.0658
0,8,Arrow Releasing,600289700.502,40062631.734
0,9,Arrow Releasing,600177835.836,40055169.1401
0,1,Arrow Releasing,600066010.712,40047707.2709
0,7,Shining Excalibur,599954427.381,40040418.7658
0,8,Shining Excalibur,599845156.663,40033677.3531
0,9,Shining Excalibur,599739498.22,40026646.1417
0,10,Shining Excalibur,599630519.551,40019230.7557
0,8,Fox Searchlight,597597160.674,39884103.0113
0,9,Fox Searchlight,595437528.863,39748154.7579
0,10,Fox Searchlight,593384470.386,39612414.8978
0,11,Fox Searchlight,591530561.163,39486357.1674
0,3,Fox Searchlight,590093052.451,39373450.6188
0,4,Fox Searchlight,588671164.451,39251476.1701
0,6,Fox Searchlight,586962168.379,39128047.3936
0,7,Fox Searchlight,585104894.523,39003410.5529
0,2,Fox Searchlight,583677850.478,38900345.4747
0,5,Fox Searchlight,582183702.159,38778223.2404
0,12,Fox Searchlight,580592807.313,38688337.4234
0,1,Fox Searchlight,579190767.019,38615004.5296
0,8,IRS Releasing,579087868.314,38608155.1118
0,10,Penland,578985001.748,38601305.5493
0,11,Rainbow Releasing,578574016.249,38573911.8809
0,12,Rainbow Releasing,578061306.944,38539853.7194
0,5,Rainbow Releasing,577856615.431,38526296.5897
0,6,Rainbow Releasing,577549961.906,38505882.7289
0,7,Rainbow Releasing,577243414.361,38485447.3006
0,9,Rainbow Releasing,576936909.788,38465011.5387
0,10,Rainbow Releasing,576732763.09,38451400.0892
0,3,Rainbow Releasing,576528830.68,38437832.8926
0,4,Rainbow Releasing,576324980.419,38424244.5261
0,1,Rainbow Releasing,576121459.07,38410673.9897
0,8,Rainbow Releasing,576019687.107,38403887.0046
0,2,Rainbow Releasing,575816202.99,38390319.27
0,12,New Yorker,574599371.702,38309288.5705
