,Month,Studio,avg_Monthly_cume_Gross,avg_Monthly_gross,Total_gross_mil
0,8,Samuel Goldwyn Films,913892729.258,61062123.9427,61.0621239427
0,9,Samuel Goldwyn Films,910322860.539,60829817.8995,60.8298178995
0,10,Samuel Goldwyn Films,906000075.342,60544375.8356,60.5443758356
0,11,Samuel Goldwyn Films,902803901.595,60330260.3308,60.3302603308
0,12,Samuel Goldwyn Films,899881129.232,60131953.2055,60.1319532055
0,1,Samuel Goldwyn Films,898041095.636,60007192.4446,60.0071924446
0,3,Samuel Goldwyn Films,895126159.221,59816811.527,59.816811527
0,4,Samuel Goldwyn Films,891984572.579,59609732.3616,59.6097323616
0,5,Samuel Goldwyn Films,888623903.5,59385072.5877,59.3850725877
0,6,Samuel Goldwyn Films,885258332.067,59158527.2688,59.1585272688
0,2,Samuel Goldwyn Films,883962021.183,59073687.363,59.073687363
0,7,Samuel Goldwyn Films,881125596.966,58883680.0167,58.8836800167
0,12,MGM,997746937.986,64707774.571,64.707774571
0,6,MGM,975253876.178,63425618.0032,63.4256180032
0,7,MGM,958713200.828,62550203.0653,62.5502030653
0,8,MGM,942582923.943,61636058.6148,61.6360586148
0,10,MGM,923522770.675,60371510.4534,60.3715104534
0,2,MGM,910108846.102,59501004.444,59.501004444
0,3,MGM,894387134.808,58586158.7015,58.5861587015
0,4,MGM,880365415.659,57688842.8207,57.6888428207
0,5,MGM,864683812.945,56506600.5023,56.5066005023
0,9,MGM,852757075.458,55777600.0881,55.7776000881
0,11,MGM,840660534.03,55187607.0977,55.1876070977
0,1,MGM,830836293.627,54459873.6258,54.4598736258
0,1,Columbia,963180439.394,64308120.4627,64.3081204627
0,2,Columbia,962440245.995,64259673.5309,64.2596735309
0,3,Columbia,961672139.744,64204191.2792,64.2041912792
0,4,Columbia,961367100.924,64179830.2382,64.1798302382
0,5,Columbia,960567260.333,64121145.7103,64.1211457103
0,6,Columbia,960121189.372,64117987.6563,64.1179876563
0,7,Columbia,959320689.819,64088350.6926,64.0883506926
0,8,Columbia,958619424.284,64051168.4575,64.0511684575
0,9,Columbia,957793365.078,63975164.2743,63.9751642743
0,10,Columbia,956957777.547,63919033.7608,63.9190337608
0,11,Columbia,956534449.338,63890810.8182,63.8908108182
0,9,New World,878820826.04,58734432.1878,58.7344321878
0,10,New World,877555634.389,58654311.7868,58.6543117868
0,11,New World,875807591.612,58544673.7951,58.5446737951
0,1,New World,874544050.665,58465940.9137,58.4659409137
0,2,New World,873300076.287,58387695.5538,58.3876955538
0,3,New World,872332989.921,58327301.2698,58.3273012698
0,4,New World,871605138.575,58279433.7967,58.2794337967
0,5,New World,870113904.426,58182547.5346,58.1825475346
0,6,New World,869613265.117,58149379.3735,58.1493793735
0,7,New World,868862666.009,58099243.4841,58.0992434841
0,8,New World,867868305.291,58036409.6813,58.0364096813
0,12,New World,866630055.858,57955905.2434,57.9559052434
0,4,Sony/TriStar,864104170.997,57789682.7602,57.7896827602
0,5,Sony/TriStar,862293429.006,57695637.9477,57.6956379477
0,6,Sony/TriStar,860803482.499,57618223.397,57.618223397
0,7,Sony/TriStar,860287434.359,57586588.8666,57.5865888666
0,8,Sony/TriStar,859673828.988,57541729.8518,57.5417298518
0,9,Sony/TriStar,858216314.901,57439382.6917,57.4393826917
0,10,Sony/TriStar,856473184.587,57328471.0914,57.3284710914
0,11,Sony/TriStar,854660202.704,57227242.4302,57.2272424302
0,12,Sony/TriStar,853330425.374,57154377.4113,57.1543774113
0,1,Sony/TriStar,852092289.722,57094003.9269,57.0940039269
0,2,Sony/TriStar,850845567.486,57009711.0854,57.0097110854
0,3,Sony/TriStar,849810153.287,56937308.5853,56.9373085853
0,8,Island/Alive,849096886.501,56889838.9399,56.8898389399
0,9,Island/Alive,848386119.818,56842803.445,56.842803445
0,10,Island/Alive,847917380.385,56811768.8017,56.8117688017
